module,no,jurisdiction,authority_tier,law_or_bill,title_en,agency,effective_date,source_id,source_url,url_status
labor,25,New Jersey,state,"New Jersey Tipped-Employee Cash Wage & Tip Credit, N.J.A.C. 12:56-3.5",New Jersey Tip Credit / Tipped Worker Cash Wage,"New Jersey Department of Labor and Workforce Development (NJDOL), Division of Wage and Hour Compliance",2026-01-01,dcwp_dol_labor,https://www.nj.gov/labor/myworkrights/worker-protections/tipped_workers/,live_200
labor,26,New Jersey,state,"New Jersey Wage Theft Act, P.L. 2019, c. 212",New Jersey Wage Theft Act,"New Jersey Department of Labor and Workforce Development (NJDOL), Division of Wage and Hour Compliance",2019-08-06,dcwp_dol_labor,https://pub.njleg.gov/bills/2018/AL19/212_.PDF,bot_blocked
labor,27,New Jersey,state,New Jersey ABC Test for Worker Classification & 2020 Misclassification Enforcement Package (P.L. 2019 c.212; P.L. 2019 c.373; A-5890/A-5891),New Jersey ABC Test & Misclassification Enforcement,"New Jersey Department of Labor and Workforce Development (NJDOL), Office of Strategic Enforcement and Compliance (OSEC)",2020-01-20,dcwp_dol_labor,https://www.nj.gov/labor/worker-protections/myworkrights/independentcontractors.shtml,live_200
labor,28,New Jersey,state,"New Jersey Law Against Discrimination (LAD), N.J.S.A. 10:5-1 et seq.",New Jersey Law Against Discrimination,"New Jersey Office of the Attorney General, Division on Civil Rights (DCR)",,dcwp_dol_labor,https://www.njoag.gov/about/divisions-and-offices/division-on-civil-rights-home/know-the-law/njlad/,live_200
labor,29,New Jersey,state,"New Jersey Family Leave Act (NJFLA), N.J.S.A. 34:11B-1 et seq. (as amended by A-3451 / S-2950, signed Jan. 17, 2026)",New Jersey Family Leave Act (with 2026 expansion),"New Jersey Office of the Attorney General, Division on Civil Rights (DCR)",2026-07-17,dcwp_dol_labor,https://www.njoag.gov/about/divisions-and-offices/division-on-civil-rights-home/know-the-law/new-jersey-family-leave-act/,live_200
labor,30,New Jersey,state,"New Jersey Pay and Benefit Transparency Law, P.L. 2024, c. 91 (S2310)",New Jersey Pay Transparency Law,New Jersey Department of Labor and Workforce Development (NJDOL),2025-06-01,dcwp_dol_labor,https://www.nj.gov/labor/lwdhome/press/2025/20250530_Salary_Ranges.shtml,live_200
labor,31,New Jersey,state,"New Jersey Opportunity to Compete Act ('Ban the Box'), N.J.S.A. 34:6B-11 et seq.",New Jersey Opportunity to Compete Act (Ban the Box),New Jersey Department of Labor and Workforce Development (NJDOL),2015-03-01,dcwp_dol_labor,https://www.nj.gov/labor/,live_200
labor,32,New Jersey,state,"NJLAD Lactation/Breastfeeding Accommodation Amendment, P.L. 2017, c. 263 (amending N.J.S.A. 10:5-12)",NJLAD Lactation Accommodation Amendment,"New Jersey Office of the Attorney General, Division on Civil Rights (DCR)",2018-01-08,dcwp_dol_labor,https://www.nj.gov/oag/dcr/downloads/fact_BRST.pdf,live_200
labor,33,New Jersey,state,"New Jersey Assembly Bill A2443 – Workplace Harassment Standard, Policy & Training Mandate (221st Legislature)","NJ A2443 – Harassment Standard, Policy & Training Bill",New Jersey Legislature / Division on Civil Rights (proposed enforcer),,dcwp_dol_labor,https://pub.njleg.gov/Bills/2024/A2500/2443_I1.HTM,live_200
labor,34,California,state,California State Minimum Wage (Labor Code §1182.12),California State Minimum Wage,California Department of Industrial Relations – Division of Labor Standards Enforcement (DLSE),2026-01-01,dcwp_dol_labor,https://www.dir.ca.gov/dlse/faq_minimumwage.htm,live_200
labor,35,California,state,AB 1228 – Fast Food Restaurant Minimum Wage ($20/hour) (Labor Code §1474 et seq.),AB 1228 Fast Food Minimum Wage,California Labor Commissioner's Office (DLSE) / Fast Food Council within DIR,2024-04-01,dcwp_dol_labor,https://www.dir.ca.gov/dlse/Fast-Food-Minimum-Wage-FAQ.htm,live_200
labor,36,California,state,Fast Food Council Annual Minimum Wage Adjustment (Labor Code §1474(b)) – Pending CPI Increase,Fast Food Council Annual Wage Adjustment (Pending),Fast Food Council within the California Department of Industrial Relations (DIR),,dcwp_dol_labor,https://www.dir.ca.gov/dlse/Fast-Food-Minimum-Wage-FAQ.htm,live_200
labor,37,California,state,California Daily Overtime and Double-Time Law (Labor Code §510),California Daily Overtime & Double-Time Law,California Department of Industrial Relations – Division of Labor Standards Enforcement (DLSE),,dcwp_dol_labor,https://www.dir.ca.gov/dlse/faq_overtime.htm,live_200
labor,38,California,state,"California Meal & Rest Period Requirements and Premium Pay (Labor Code §§512, 226.7; IWC Wage Order 5)",California Meal & Rest Periods and Premium Pay,California Department of Industrial Relations – Division of Labor Standards Enforcement (DLSE),,dcwp_dol_labor,https://www.dir.ca.gov/dlse/faq_mealperiods.htm,live_200
labor,39,California,state,"California Reporting Time Pay / Show-Up Pay (IWC Wage Order 5, §5)",California Reporting Time Pay,California Department of Industrial Relations – Industrial Welfare Commission / DLSE,,dcwp_dol_labor,https://www.dir.ca.gov/dlse/FAQ_ReportingTimePay.htm,live_200
labor,40,California,state,"SB 616 – Healthy Workplaces, Healthy Families Act Expansion (Paid Sick Leave) (Labor Code §245 et seq.)",SB 616 Paid Sick Leave Expansion,California Labor Commissioner's Office (DLSE),2024-01-01,dcwp_dol_labor,https://www.dir.ca.gov/dlse/paid_sick_leave.htm,live_200
labor,41,California,state,Intentional Theft of Wages as Grand Theft (AB 1003; Penal Code §487m),Wage Theft as Grand Theft (Penal Code §487m),California county District Attorneys / Attorney General; civil remedies via Labor Commissioner,2022-01-01,dcwp_dol_labor,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1003,live_200
labor,42,California,state,AB 5 – Worker Classification / ABC Test (Labor Code §2775 et seq.),AB 5 Worker Classification (ABC Test),California Labor Commissioner's Office (DLSE) / Employment Development Department (EDD),2020-01-01,dcwp_dol_labor,https://www.dir.ca.gov/dlse/faq_independentcontractor.htm,live_200
labor,43,California,state,"CROWN Act – Race Discrimination Including Natural Hair (SB 188; FEHA, Gov. Code §12926)",CROWN Act (Natural Hair Anti-Discrimination),California Civil Rights Department (CRD),2020-01-01,dcwp_dol_labor,https://calcivilrights.ca.gov/,bot_blocked
labor,44,California,state,SB 1343 – Mandatory Sexual Harassment Prevention Training (Gov. Code §12950.1),SB 1343 Sexual Harassment Prevention Training,California Civil Rights Department (CRD),2021-01-01,dcwp_dol_labor,https://calcivilrights.ca.gov/shpt/,bot_blocked
labor,45,California,state,"California Fair Chance Act (AB 1008; Gov. Code §12952), as amended by 2023 CRD regulations",California Fair Chance Act (Ban the Box),California Civil Rights Department (CRD),2023-10-01,dcwp_dol_labor,https://calcivilrights.ca.gov/fair-chance-act/,bot_blocked
labor,46,California,state,Lactation Accommodation Requirements (AB 1976 / SB 142; Labor Code §§1030–1034),Lactation Accommodation Requirements,California Labor Commissioner's Office (DLSE),2020-01-01,dcwp_dol_labor,https://www.dir.ca.gov/dlse/Lactation_Accommodation.htm,live_200
labor,47,California,state,SB 294 – Workplace Know Your Rights Act (Labor Code §§1550–1559),SB 294 Workplace Know Your Rights Act,California Labor Commissioner's Office (DLSE),2026-02-01,dcwp_dol_labor,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB294,live_200
labor,48,Massachusetts,state,"Massachusetts Minimum Fair Wage Law (M.G.L. c. 151, § 1)",Massachusetts Minimum Wage ($15.00/hour),"Massachusetts Attorney General's Office, Fair Labor Division",2023-01-01,dcwp_dol_labor,https://www.mass.gov/info-details/massachusetts-law-about-minimum-wage,bot_blocked
labor,49,Massachusetts,state,"Massachusetts Service Rate (Tipped Minimum Wage) (M.G.L. c. 151, § 7)",Massachusetts Tipped Service Rate ($6.75/hour) with Tip Credit,"Massachusetts Attorney General's Office, Fair Labor Division",2023-01-01,dcwp_dol_labor,https://www.mass.gov/info-details/minimum-wage-and-overtime-information,bot_blocked
labor,50,Massachusetts,state,"Massachusetts Tips Act — Service Charges and Tip Pools (M.G.L. c. 149, § 152A)",Massachusetts Tips Act (Tip Pools & Service Charges),"Massachusetts Attorney General's Office, Fair Labor Division",2004-07-19,dcwp_dol_labor,https://www.mass.gov/info-details/mass-general-laws-c149-ss-152a,bot_blocked
labor,51,Massachusetts,state,"Massachusetts Earned Sick Time Law (M.G.L. c. 149, § 148C)",Massachusetts Earned Sick Time Law,"Massachusetts Attorney General's Office, Fair Labor Division",2015-07-01,dcwp_dol_labor,https://www.mass.gov/info-details/earned-sick-time,bot_blocked
labor,52,Massachusetts,state,Massachusetts Paid Family and Medical Leave (PFML) (M.G.L. c. 175M),Massachusetts Paid Family and Medical Leave (PFML),Massachusetts Department of Family and Medical Leave (DFML),2021-01-01,dcwp_dol_labor,https://www.mass.gov/info-details/paid-family-and-medical-leave-pfml-overview-and-benefits,bot_blocked
labor,53,Massachusetts,state,"Massachusetts Wage Act — Timely Payment of Wages & Treble Damages (M.G.L. c. 149, § 148)",Massachusetts Wage Act (Timely Wage Payment / Treble Damages),"Massachusetts Attorney General's Office, Fair Labor Division",2022-04-04,dcwp_dol_labor,https://www.mass.gov/info-details/massachusetts-law-about-wages,bot_blocked
labor,54,Massachusetts,state,"Massachusetts Independent Contractor Law — ABC Test (M.G.L. c. 149, § 148B)",Massachusetts Independent Contractor Law (ABC Test),"Massachusetts Attorney General's Office, Fair Labor Division",2004-07-19,dcwp_dol_labor,https://www.mass.gov/info-details/massachusetts-law-about-independent-contractors,bot_blocked
labor,55,Massachusetts,state,"Massachusetts Overtime Law & Restaurant Exemption (M.G.L. c. 151, § 1A)",Massachusetts Overtime Law (Restaurant Exemption),"Massachusetts Attorney General's Office, Fair Labor Division",,dcwp_dol_labor,https://www.mass.gov/info-details/minimum-wage-and-overtime-information,bot_blocked
labor,56,Massachusetts,state,"Massachusetts CROWN Act — Hairstyle Discrimination (M.G.L. c. 151B, as amended 2022)",Massachusetts CROWN Act (Natural & Protective Hairstyle Discrimination),Massachusetts Commission Against Discrimination (MCAD),2022-10-24,dcwp_dol_labor,https://www.mass.gov/info-details/learn-about-the-crown-act,bot_blocked
labor,57,Massachusetts,state,"Massachusetts 'Ban the Box' / CORI Restrictions on Job Applications (M.G.L. c. 151B, § 4(9½))",Massachusetts 'Ban the Box' & CORI Hiring Restrictions,Massachusetts Commission Against Discrimination (MCAD),2010-11-04,dcwp_dol_labor,https://www.mass.gov/info-details/cori-and-employment,bot_blocked
labor,58,Massachusetts,state,An Act relative to the scheduling of employees (Fair Workweek) — S.1236 / H.1974 (2025–2026 session),Massachusetts Fair Workweek Scheduling Bill (Proposed S.1236 / H.1974),Massachusetts Legislature (Joint Committee on Labor and Workforce Development); would be enforced by the Attorney General's Office,,dcwp_dol_labor,https://malegislature.gov/Bills/194/S1236,live_200
labor,59,Florida,state,"Florida Minimum Wage (Art. X, §24, Fla. Const. / Fla. Stat. §448.110) — 2020 Amendment 2 Schedule",Florida Minimum Wage — Amendment 2 Phased Increase to $15,Florida Department of Commerce (FloridaCommerce) / Florida Attorney General (civil enforcement),2025-09-30,dcwp_dol_labor,https://www.floridajobs.org/florida-minimum-wage,live_200
labor,60,Florida,state,"Florida E-Verify Mandate for Private Employers (SB 1718, 2023; Fla. Stat. §448.095)",Florida Private-Employer E-Verify Mandate (SB 1718),Florida Department of Commerce (FloridaCommerce) / Department of Economic Opportunity,2023-07-01,dcwp_dol_labor,https://www.flsenate.gov/Session/Bill/2023/1718/BillText/er/HTML,live_200
labor,61,Florida,state,"Florida Civil Rights Act of 1992 (Fla. Stat. Chapter 760, Part I)",Florida Civil Rights Act of 1992 (Chapter 760),Florida Commission on Human Relations (FCHR),,dcwp_dol_labor,https://www.flsenate.gov/Laws/Statutes/2024/Chapter760/All,live_200
labor,62,Florida,state,"Florida Employment Regulations Preemption Act (HB 433, 2024) — Local Scheduling & Wage/Benefit Preemption (Fla. Stat. §448.007)",Florida HB 433 — Preemption of Local Scheduling and Wage/Benefit Ordinances,Florida Legislature (statewide preemption; no single enforcing agency),2026-09-30,dcwp_dol_labor,https://www.flsenate.gov/Session/Bill/2024/433,live_200
labor,63,Florida,state,Florida Wage Payment Law — Final Pay / Unpaid Wages (Fla. Stat. §448.08; Art. X §24 enforcement),Florida Wage Payment & Unpaid Wages Law (§448.08),Florida courts (private right of action); Florida Attorney General,,dcwp_dol_labor,https://www.flsenate.gov/Laws/Statutes/2025/448.08,live_200
labor,64,Washington DC,city_local,District of Columbia Minimum Wage Revision Act / Living Wage Act (D.C. Code §32-1003),DC Minimum Wage Revision Act / Living Wage (§32-1003),"DC Department of Employment Services (DOES), Office of Wage-Hour Compliance",2025-07-01,dcwp_dol_labor,https://code.dccouncil.gov/us/dc/council/code/sections/32-1003,live_200
labor,65,Washington DC,city_local,"DC Accrued Sick and Safe Leave Act of 2008, as amended (D.C. Code §32-531.01 et seq.; §32-531.02)","DC Accrued Sick and Safe Leave Act (ASSLA, §32-531.02)","DC Department of Employment Services (DOES), Office of Wage-Hour Compliance",2015-02-26,dcwp_dol_labor,https://code.dccouncil.gov/us/dc/council/code/sections/32-531.02,live_200
labor,66,Washington DC,city_local,Universal Paid Leave Amendment Act of 2016 (D.C. Law 21-264; D.C. Code §32-541.01 et seq.),DC Universal Paid Leave Amendment Act of 2016,"DC Department of Employment Services (DOES), Office of Paid Family Leave (OPFL)",2020-07-01,dcwp_dol_labor,https://code.dccouncil.gov/us/dc/council/laws/21-264,live_200
labor,67,Washington DC,city_local,Wage Transparency Omnibus Amendment Act of 2023 (D.C. Law 25-138; D.C. Code §32-1451 et seq.),DC Wage Transparency Omnibus Amendment Act of 2023,DC Office of the Attorney General (OAG); DOES,2024-06-30,dcwp_dol_labor,https://code.dccouncil.gov/us/dc/council/laws/25-138,live_200
labor,68,Washington DC,city_local,Tipped Wage Workers Fairness Amendment Act of 2018 (D.C. Law 22-196) — Sexual Harassment Training & Reporting,DC Tipped Wage Workers Fairness Act — Sexual Harassment Training & Reporting,DC Office of Human Rights (OHR); DOES,2019-01-01,dcwp_dol_labor,https://code.dccouncil.gov/us/dc/council/laws/22-196,live_200
labor,69,Washington DC,city_local,DC Living Wage for All Ballot Initiative (2026) — Minimum Wage Increase & Tip-Credit Elimination (Proposed),DC 'Living Wage for All' 2026 Ballot Initiative (Proposed),DC Board of Elections (ballot certification),,dcwp_dol_labor,https://www.restaurantdive.com/news/dc-tip-credit-25-dollar-minimum-wage-ballot-initiative/807257/,live_200
labor,70,Federal,federal,Equal Pay Act of 1963 (29 U.S.C. § 206(d)),Equal Pay Act of 1963,U.S. Equal Employment Opportunity Commission (EEOC),1964-06-11,dcwp_dol_labor,https://www.eeoc.gov/statutes/equal-pay-act-1963,live_200
labor,71,Federal,federal,Worker Adjustment and Retraining Notification (WARN) Act (29 U.S.C. § 2101 et seq.),Federal WARN Act,U.S. Department of Labor (administered; enforced via private/court action),1989-02-04,dcwp_dol_labor,https://www.dol.gov/general/topic/termination/plantclosings,bot_blocked
labor,72,California,state,"California WARN Act (Cal-WARN), Labor Code §§ 1400–1408",California WARN Act,California Employment Development Department (EDD) / Labor & Workforce Development Agency,2003-01-01,dcwp_dol_labor,https://www.dir.ca.gov/dlse/Cal-WARNAct.html,live_200
labor,73,California,state,"California Wage Theft Prevention Act – Notice to Employee, Labor Code § 2810.5",California Wage Theft Prevention Act – Notice to Employee (Labor Code 2810.5),"California Labor Commissioner (DLSE), Division of Labor Standards Enforcement",2012-01-01,dcwp_dol_labor,https://www.dir.ca.gov/dlse/lc_2810.5_notice.pdf,bot_blocked
labor,74,California,state,"Worker Freedom from Employer Intimidation Act (SB 399), Labor Code § 1137",California Worker Freedom from Employer Intimidation Act (SB 399),California Labor Commissioner,2025-01-01,dcwp_dol_labor,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB399,live_200
labor,75,Massachusetts,state,"Lie Detector Tests as a Condition of Employment, G.L. c. 149, § 19B","Massachusetts Lie Detector Test Prohibition & Application Notice (G.L. c. 149, § 19B)","Massachusetts Office of the Attorney General, Fair Labor Division",1986-01-01,dcwp_dol_labor,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXXI/Chapter149/Section19B,live_200
labor,76,Massachusetts,state,Act Relative to Salary Range Transparency (Chapter 141 of the Acts of 2024),Massachusetts Salary Range Transparency Act,Massachusetts Office of the Attorney General,2025-10-29,dcwp_dol_labor,https://www.mass.gov/info-details/pay-transparency-in-massachusetts,bot_blocked
labor,77,Washington DC,city_local,"Non-Compete Clarification Amendment Act of 2022 (D.C. Law 24-175), D.C. Official Code § 32-581.01 et seq.",DC Ban on Non-Compete Agreements (Non-Compete Clarification Amendment Act of 2022),DC Department of Employment Services (DOES),2022-10-01,dcwp_dol_labor,https://code.dccouncil.gov/us/dc/council/laws/24-175,live_200
labor,78,Federal,federal,FTC Non-Compete Clause Rule (16 C.F.R. Part 910) — Vacated and Removed,FTC Non-Compete Clause Rule (16 CFR Part 910) — Vacated/Removed,Federal Trade Commission (FTC),2026-02-12,dcwp_dol_labor,https://www.federalregister.gov/documents/2026/02/12/2026-02866/revision-of-the-negative-option-rule-withdrawal-of-the-cars-rule-removal-of-the-non-compete-rule-to,live_200
labor,79,Washington DC,city_local,Fair Criminal Record Screening Amendment Act of 2014 (D.C. Official Code § 32-1341 et seq.) — 'Ban the Box',DC Fair Criminal Record Screening Amendment Act of 2014 (Ban the Box),DC Office of Human Rights (OHR),2014-12-17,dcwp_dol_labor,https://code.dccouncil.gov/us/dc/council/laws/20-152,live_200
labor,80,New York City,city_local,NYC Fair Workweek Law — Fast Food (6 RCNY Ch. 7 Subch. F),NYC Fair Workweek Law (Fast Food Employers),NYC DCWP,2017-11-26,dcwp_dol_labor,https://www.nyc.gov/site/dca/about/fairworkweek-deductions-laws.page,live_200
labor,81,New York City,city_local,NYC Earned Safe and Sick Time Act (Paid Safe and Sick Leave),NYC Earned Safe and Sick Time Act,NYC DCWP,2014-04-01,dcwp_dol_labor,https://www.nyc.gov/site/dca/about/paid-sick-leave-law.page,live_200
labor,82,Federal,federal,FLSA Tip Regulations — Tip Credit & Dual Jobs (29 CFR 531),FLSA Tip Regulations — Tip Credit and Dual Jobs,US DOL Wage & Hour Division,2024-12-17,dcwp_dol_labor,https://www.dol.gov/agencies/whd/flsa/tips,bot_blocked
labor,83,New York State,state,NY Minimum Wage (NYC rate),NY Minimum Wage (NYC rate),NY DOL,2026-01-01,dcwp_dol_labor,https://dol.ny.gov/minimum-wage-0,live_200
labor,84,New York State,state,Wage Theft Prevention Act (Labor Law §195),NY Wage Theft Prevention Act,NY DOL,2011-04-09,dcwp_dol_labor,https://dol.ny.gov/notice-pay-rate,live_200
labor,85,New York City,city_local,NYC Fast Food Just Cause / Wrongful Discharge (Admin Code §20-1272),NYC Fast Food Just Cause / Wrongful Discharge,NYC DCWP,2021-07-04,dcwp_dol_labor,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-131240,bot_blocked
labor,86,Federal,federal,Family and Medical Leave Act (FMLA),Family and Medical Leave Act (FMLA),US DOL Wage & Hour Division,1993-08-05,dcwp_dol_labor,https://www.dol.gov/agencies/whd/fmla,bot_blocked
labor,87,Federal,federal,Title VII of the Civil Rights Act of 1964,Title VII of the Civil Rights Act of 1964,EEOC,,dcwp_dol_labor,https://www.eeoc.gov/statutes/title-vii-civil-rights-act-1964,live_200
labor,88,Federal,federal,Americans with Disabilities Act — Title I (Employment),ADA Title I (Employment),EEOC,,dcwp_dol_labor,https://www.eeoc.gov/disability-discrimination,live_200
labor,89,Federal,federal,Age Discrimination in Employment Act (ADEA),Age Discrimination in Employment Act (ADEA),EEOC,,dcwp_dol_labor,https://www.eeoc.gov/statutes/age-discrimination-employment-act-1967,live_200
labor,90,Federal,federal,Pregnant Workers Fairness Act (PWFA),Pregnant Workers Fairness Act (PWFA),EEOC,2023-06-27,dcwp_dol_labor,https://www.eeoc.gov/wysk/what-you-should-know-about-pregnant-workers-fairness-act,live_200
labor,91,New York State,state,NY Pay Transparency Law,NY Pay Transparency Law,NY DOL,2023-09-17,dcwp_dol_labor,https://dol.ny.gov/pay-transparency,live_200
labor,92,New York City,city_local,NYC Fair Chance Act (Ban the Box),NYC Fair Chance Act,NYC Commission on Human Rights,2015-10-27,dcwp_dol_labor,https://www.nyc.gov/site/cchr/law/fair-chance-act.page,live_200
